LAMMPS data file via write_data, version 3 Mar 2020, timestep = 10000

3601 atoms
2 atom types
3600 bonds
2 bond types

-7.0000000000000000e+01 7.0000000000000000e+01 xlo xhi
-7.0000000000000000e+01 7.0000000000000000e+01 ylo yhi
-7.0000000000000000e+01 7.0000000000000000e+01 zlo zhi

Masses

1 1
2 2

Pair Coeffs # lj/cut

1 1 1
2 1 1

Bond Coeffs # fene

1 30 1.5 1 1
2 30 2.5 1 1

Atoms # bond

2881 1 1 3.7808467001080743e+01 -2.2861731027536923e+01 -5.6954357632857020e+00 0 0 0
2880 1 1 3.8356876551072226e+01 -2.2246556832263831e+01 -5.2560836467157399e+00 0 0 0
2036 1 1 1.7122609436729952e+01 -1.1655930725334628e+01 -5.2656074342652168e+00 0 0 0
2033 1 1 1.6189084754462439e+01 -9.5893568400133127e+00 -5.1918349399940045e+00 0 0 0
2032 1 1 1.5649403195868267e+01 -8.8151488301643841e+00 -5.2266807314929720e+00 0 0 0
2879 1 1 3.8804015737260229e+01 -2.2366113403289429e+01 -4.4501864356904264e+00 0 0 0
2875 1 1 4.0195272474308283e+01 -2.1101986154493105e+01 -4.6716396484519462e+00 0 0 0
2874 1 1 4.1076600309700915e+01 -2.0787236690668269e+01 -4.3662336400861985e+00 0 0 0
2873 1 1 4.1557163724957540e+01 -1.9953848304056116e+01 -4.7034363996309327e+00 0 0 0
2855 1 1 3.5682153029727111e+01 -1.7606201135118297e+01 -4.3417195076283246e+00 0 0 0
2038 1 1 1.8099744686183556e+01 -1.2230031780475658e+01 -4.3608007723550894e+00 0 0 0
2037 1 1 1.7992180228124049e+01 -1.1501789864747531e+01 -4.9625881528234173e+00 0 0 0
2035 1 1 1.6589945237961970e+01 -1.0922624316783294e+01 -4.8824897458203722e+00 0 0 0
2034 1 1 1.6612182246723403e+01 -1.0071168476235384e+01 -4.4169859845566730e+00 0 0 0
2031 1 1 1.6287677885748231e+01 -8.1441886966845836e+00 -4.8361602559018069e+00 0 0 0
1801 1 1 3.3828389863739666e+01 1.1987488118322325e+01 -4.3403420770924468e+00 0 0 0
1799 1 1 3.4775839527775673e+01 1.1346014282688033e+01 -4.5923265066089929e+00 0 0 0
2878 1 1 3.8954926214038686e+01 -2.2023326111950457e+01 -3.5643732051841970e+00 0 0 0
2876 1 1 3.9259802884560308e+01 -2.1061115576353622e+01 -4.2459410947299157e+00 0 0 0
2872 1 1 4.1985177125673658e+01 -1.9693872873949722e+01 -3.8815969967212327e+00 0 0 0
2857 1 1 3.6979091463252658e+01 -1.8822359705945555e+01 -3.6824946720749208e+00 0 0 0
